YouTube Video ID,Match ID,Date,Stage,Player 1 Ringname,Player 1 Rank,Player 1 Character,Player 2 Ringname,Player 2 Rank,Player 2 Character,round_number,Winning Player Number,How Round Ended,Time Remaining When Round Ended,Shun.Drinks.1P,Shun.Drinks.2P,Strike First Player,P1 Health,P2 Health,P1 Rounds Won So Far,P2 Rounds Won So Far,Match Winner,Youtube Link
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,35,0,0,2,69,49,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,35,0,0,2,69,49,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,35,0,0,2,69,49,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,29,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,27,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,25,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,24,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,23,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,22,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,22,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,22,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,34,0,0,2,69,18,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,69,19,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,69,19,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,69,18,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,69,18,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,69,18,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,69,18,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,68,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,68,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,68,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,33,0,0,2,67,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,32,0,0,2,67,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,32,0,0,2,67,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,32,0,0,2,66,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,32,0,0,2,66,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,32,0,0,2,66,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,32,0,0,2,68,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,31,0,0,2,69,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,31,0,0,2,69,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,31,0,0,2,65,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,31,0,0,2,57,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,30,0,0,2,57,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,30,0,0,2,57,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,30,0,0,2,58,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,30,0,0,2,58,12,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,58,9,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,58,10,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,58,8,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,57,8,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,57,8,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,57,8,0,0,2,https://www.youtube.com/watch?v=None&t=0
,0a922e50f9f9a3e650e322dd3d96f0e5,2025/02/09,Aurora,MediocreRyden,22,Vanessa,Myke623,21,Kage,1,1,,29,0,0,2,57,8,0,0,2,https://www.youtube.com/watch?v=None&t=0
